Entity,Laureates10million,cocoaconsump2010,alcoholconsump2015,fishconsump2013,Smoker_Num2012
Algeria,0.476,0.575,0.6,3.92,3123101
Argentina,1.119,0.785,7.6,7.05,5987695
Australia,4.844,2.874,12.6,26.09,2961263
Austria,23.995,3.8,8.5,13.88,2109044
Azerbaijan,1.008,,2.1,2.13,1622189
Bangladesh,0.06,,0.2,19.21,24013742
Belarus,2.116,,17.1,16.44,2174988
Belgium,8.697,5.688,10.8,25.03,2371022
Bosnia and Herzegovina,5.708,,7.5,4.28,1000678
Brazil,0.047,0.915,9.1,10.87,20734652
Bulgaria,1.421,,11.3,6.94,2059760
Canada,6.495,2.552,10.3,22.52,4160166
Chile,1.099,0.97,9.3,12.49,3923926
China,0.064,0.038,7.6,34.67,281714540
Colombia,0.404,0.989,6.6,6.23,3874289
Costa Rica,2.019,,5.1,12.9,442921
Croatia,2.401,,11.7,18.98,1022722
Cyprus,8.41,,9.1,21.61,233246
Czech Republic,4.706,2.44,14.1,8.6,2119660
Denmark,24.329,3.286,10.2,23.16,861253
Egypt,0.403,,0.3,22.12,10189096
Finland,9.021,3.022,11.9,36.35,743091
France,9.658,3.622,11.6,33.48,14133156
Germany,13.124,3.962,10.6,12.56,15844341
Ghana,0.339,0.547,5.4,26.25,603954
Greece,1.795,2.599,9.3,19.29,3374784
Guatemala,1.16,,3.9,1.29,562527
Hungary,9.289,1.792,12.4,5.09,2275537
Iceland,29.605,,6.9,91.92,36513
India,0.074,0.027,4.6,5.04,110190326
Iran,0.244,,1,9.97,7083248
Iraq,0.254,,0.5,3.29,3216218
Ireland,14.572,4.018,10.9,21.99,868872
Israel,14.196,2.9647,3.1,23.23,1073768
Italy,3.373,1.458,6.1,25.08,11659468
Japan,2.123,1.215,7.5,48.6,23340781
Kenya,0.196,,4,4.28,2366606
Latvia,5.182,,10.6,23.66,561321
Liberia,4.121,,5.2,4.16,150065
Lithuania,3.476,,16.2,43.64,717098
Luxembourg,33.88,,11.2,33.79,106192
Macedonia,4.796,,5.7,5.52,645135
Mexico,0.229,0.548,6.8,10.46,8496024
Morocco,0.276,,0.7,18.07,3161489
Myanmar,0.186,,0.7,54.39,6886003
Netherlands,11.707,2.282,9.6,22.11,2860947
New Zealand,6.316,,11.2,24.92,578689
Nigeria,0.051,0.113,11.3,16.18,3776711
Norway,24.284,4.015,7,52.08,671237
Pakistan,0.1,,0.1,1.92,18078040
Peru,0.307,,5.2,22.13,2345470
Poland,3.149,1.688,11.5,10.62,8864459
Portugal,1.943,1.712,12.5,53.76,1952984
Romania,2.043,0.976,12.9,6.22,4870683
Russia,1.598,1.389,14.5,22.93,38559077
Saint Lucia,111.317,,10.4,23.2,14130
Slovenia,4.805,3.067,10.9,10.48,393481
South Africa,1.742,0.387,11.5,6.25,5491791
South Korea,0.195,0.499,10.9,52.78,9961625
Spain,1.724,2.276,10.6,42.38,9798622
Sweden,30.052,2.285,8.7,32.01,1074390
Switzerland,30.431,5.883,10.4,17.78,1338689
Trinidad and Tobago,7.285,,6.6,23.9,186373
Turkey,0.244,,2.4,6.07,14488774
Ukraine,0.454,0.482,11.8,17.03,10474520
United Kingdom,19.978,3.637,12,20.76,10355707
United States,11.476,2.455,9,21.51,38325132
Venezuela,0.309,0.409,8.3,9.58,3530702
Vietnam,0.104,,8.7,32.67,14464714
Yemen,0.346,,0.2,2.46,2017418